metric,status,reason,impact,source_artifact,source_pointer,evidence_layer,dry_run_only
cluster_build.role_convergence.replica_replicate_seconds,MISSING,30-node historical evidence predates P13 timing breakdown,,artifacts/loop_engineering/reports/scale_build_metrics.json,$.canonical_rungs.0.metric_records.8,30,false
cluster_build.runtime.cluster_create_duration_seconds,MISSING,30-node historical evidence predates runtime_timing_breakdown artifact,,artifacts/loop_engineering/reports/scale_build_metrics.json,$.canonical_rungs.0.metric_records.27,30,false
cluster_build.setup_timeline.setup_command_wall_seconds,MISSING,30-node historical evidence predates setup_timeline artifact,,artifacts/loop_engineering/reports/scale_build_metrics.json,$.canonical_rungs.0.metric_records.25,30,false
cluster_build.setup_timeline.total_seconds,MISSING,30-node historical evidence predates setup_timeline artifact,,artifacts/loop_engineering/reports/scale_build_metrics.json,$.canonical_rungs.0.metric_records.26,30,false
failover.split_brain_duration_ms,MISSING,not_measured_by_primary_stop_gate,,artifacts/phases/P08_FAILOVER_SPLIT_BRAIN/failover_report.json,$.summary.split_brain_duration_ms,small-real,false
report_visualization.analysis.split_brain_duration_ms,MISSING,not_measured_by_primary_stop_gate,,artifacts/phases/P09_ANALYSIS_REPORTING/analysis_summary.json,$.metrics.2,small-real,false
stability.baseline.error_count,NO_BASELINE_YET,No previous stability baseline artifact exists.,,artifacts/phases/P11_STABILITY_SOAK/stability_report.json,$.summary.baseline.comparisons.0,small-real,false
stability.baseline.max_memory_growth_bytes,NO_BASELINE_YET,No previous stability baseline artifact exists.,,artifacts/phases/P11_STABILITY_SOAK/stability_report.json,$.summary.baseline.comparisons.1,small-real,false
failover.real_evidence.data_path_result,SKIPPED_WITH_REASON,Wrapper evidence skipped the data-path probe while live Valkey liveness and cluster probes passed.,,artifacts/phases/P08_FAILOVER_SPLIT_BRAIN/valkey_e2e_evidence.json,$.data_path_result,small-real,false
fake.cleanup.coverage_placeholder,SKIPPED_WITH_REASON,Fake coverage is represented by deterministic tests and is not committed as real artifact evidence.,,artifacts/loop_engineering/stages/L03_METRIC_CATALOG_AND_COVERAGE_MATRIX/current_harness_plan.json,$.L03.required_layers.fake.cleanup,fake,false
fake.cluster_build.coverage_placeholder,SKIPPED_WITH_REASON,Fake coverage is represented by deterministic tests and is not committed as real artifact evidence.,,artifacts/loop_engineering/stages/L03_METRIC_CATALOG_AND_COVERAGE_MATRIX/current_harness_plan.json,$.L03.required_layers.fake.cluster_build,fake,false
fake.failover.coverage_placeholder,SKIPPED_WITH_REASON,Fake coverage is represented by deterministic tests and is not committed as real artifact evidence.,,artifacts/loop_engineering/stages/L03_METRIC_CATALOG_AND_COVERAGE_MATRIX/current_harness_plan.json,$.L03.required_layers.fake.failover,fake,false
fake.fault.coverage_placeholder,SKIPPED_WITH_REASON,Fake coverage is represented by deterministic tests and is not committed as real artifact evidence.,,artifacts/loop_engineering/stages/L03_METRIC_CATALOG_AND_COVERAGE_MATRIX/current_harness_plan.json,$.L03.required_layers.fake.fault,fake,false
fake.management.coverage_placeholder,SKIPPED_WITH_REASON,Fake coverage is represented by deterministic tests and is not committed as real artifact evidence.,,artifacts/loop_engineering/stages/L03_METRIC_CATALOG_AND_COVERAGE_MATRIX/current_harness_plan.json,$.L03.required_layers.fake.management,fake,false
fake.observability.coverage_placeholder,SKIPPED_WITH_REASON,Fake coverage is represented by deterministic tests and is not committed as real artifact evidence.,,artifacts/loop_engineering/stages/L03_METRIC_CATALOG_AND_COVERAGE_MATRIX/current_harness_plan.json,$.L03.required_layers.fake.observability,fake,false
fake.report_visualization.coverage_placeholder,SKIPPED_WITH_REASON,Fake coverage is represented by deterministic tests and is not committed as real artifact evidence.,,artifacts/loop_engineering/stages/L03_METRIC_CATALOG_AND_COVERAGE_MATRIX/current_harness_plan.json,$.L03.required_layers.fake.report_visualization,fake,false
fake.scale.coverage_placeholder,SKIPPED_WITH_REASON,Fake coverage is represented by deterministic tests and is not committed as real artifact evidence.,,artifacts/loop_engineering/stages/L03_METRIC_CATALOG_AND_COVERAGE_MATRIX/current_harness_plan.json,$.L03.required_layers.fake.scale,fake,false
fake.stability.coverage_placeholder,SKIPPED_WITH_REASON,Fake coverage is represented by deterministic tests and is not committed as real artifact evidence.,,artifacts/loop_engineering/stages/L03_METRIC_CATALOG_AND_COVERAGE_MATRIX/current_harness_plan.json,$.L03.required_layers.fake.stability,fake,false
fake.workload.coverage_placeholder,SKIPPED_WITH_REASON,Fake coverage is represented by deterministic tests and is not committed as real artifact evidence.,,artifacts/loop_engineering/stages/L03_METRIC_CATALOG_AND_COVERAGE_MATRIX/current_harness_plan.json,$.L03.required_layers.fake.workload,fake,false
fault.network_delay.observed_impact,SKIPPED_WITH_REASON,P07 safety gate validates sandbox lifecycle and post-clear cluster health; no host-level network impairment is applied.,,artifacts/phases/P07_FAULT_INJECTION_SANDBOX/fault_report.json,$.faults.0.observed_impact,small-real,false
fault.real_evidence.data_path_result,SKIPPED_WITH_REASON,Wrapper evidence skipped the data-path probe while live Valkey liveness and cluster probes passed.,,artifacts/phases/P07_FAULT_INJECTION_SANDBOX/valkey_e2e_evidence.json,$.data_path_result,small-real,false
management.operation.rebalance.duration_seconds,SKIPPED_WITH_REASON,Valkey cluster rebalance orchestration is deferred until management expansion.,,artifacts/phases/P04_CLUSTER_MANAGEMENT_OPS/management_ops_report.json,$.operations.8.duration_seconds,small-real,false
management.operation.remove_node.duration_seconds,SKIPPED_WITH_REASON,P04 records taxonomy only; destructive removal is deferred until a dedicated lifecycle phase.,,artifacts/phases/P04_CLUSTER_MANAGEMENT_OPS/management_ops_report.json,$.operations.6.duration_seconds,small-real,false
management.operation.reshard.duration_seconds,SKIPPED_WITH_REASON,P04 smoke cluster keeps slot ownership stable for wrapper data-path proof.,,artifacts/phases/P04_CLUSTER_MANAGEMENT_OPS/management_ops_report.json,$.operations.7.duration_seconds,small-real,false
management.operation.rolling_restart.duration_seconds,SKIPPED_WITH_REASON,Restart orchestration is deferred to later stability/fault phases.,,artifacts/phases/P04_CLUSTER_MANAGEMENT_OPS/management_ops_report.json,$.operations.9.duration_seconds,small-real,false
workload.timing_window.after_recovery.duration_seconds,SKIPPED_WITH_REASON,P05 workload_smoke has no recovery window.,,artifacts/phases/P05_WORKLOAD_ENGINE/workload_report.json,$.timing_windows.3.duration_seconds,small-real,false
workload.timing_window.before_fault.duration_seconds,SKIPPED_WITH_REASON,P05 workload_smoke has no fault window.,,artifacts/phases/P05_WORKLOAD_ENGINE/workload_report.json,$.timing_windows.1.duration_seconds,small-real,false
workload.timing_window.during_fault.duration_seconds,SKIPPED_WITH_REASON,P05 workload_smoke has no fault window.,,artifacts/phases/P05_WORKLOAD_ENGINE/workload_report.json,$.timing_windows.2.duration_seconds,small-real,false
