layer,surface,status,evidence_class,metric_count,real_valkey_coverage,dry_run_only,reason,source_artifacts
small-real,cleanup,COVERED,source_artifact,46,false,false,,artifacts/phases/P03_LOCAL_DOCKER_VALKEY/cleanup_report.json;artifacts/phases/P03_LOCAL_DOCKER_VALKEY/cleanup_report_cluster_smoke.json;artifacts/phases/P04_CLUSTER_MANAGEMENT_OPS/cleanup_report.json;artifacts/phases/P04_CLUSTER_MANAGEMENT_OPS/cleanup_report_management_ops.json;artifacts/phases/P05_WORKLOAD_ENGINE/cleanup_report.json;artifacts/phases/P05_WORKLOAD_ENGINE/cleanup_report_workload_smoke.json;artifacts/phases/P06_OBSERVABILITY_METRICS/cleanup_report.json;artifacts/phases/P06_OBSERVABILITY_METRICS/cleanup_report_observability_smoke.json;artifacts/phases/P07_FAULT_INJECTION_SANDBOX/cleanup_report.json;artifacts/phases/P07_FAULT_INJECTION_SANDBOX/cleanup_report_fault_sandbox_setup.json;artifacts/phases/P08_FAILOVER_SPLIT_BRAIN/cleanup_report.json;artifacts/phases/P08_FAILOVER_SPLIT_BRAIN/cleanup_report_failover_setup.json;artifacts/phases/P09_ANALYSIS_REPORTING/cleanup_report.json;artifacts/phases/P09_ANALYSIS_REPORTING/cleanup_report_reporting_source_smoke.json;artifacts/phases/P10_MULTI_HOST_ORCHESTRATION/cleanup_report.json;artifacts/phases/P10_MULTI_HOST_ORCHESTRATION/cleanup_report_orchestrated_localhost.json;artifacts/phases/P11_STABILITY_SOAK/cleanup_report.json;artifacts/phases/P11_STABILITY_SOAK/cleanup_report_stability_soak_smoke.json;artifacts/phases/P12_SCALE_LADDER_10_30/cleanup_report.json;artifacts/phases/P12_SCALE_LADDER_10_30/cleanup_report_scale_10.json;artifacts/phases/P13O_CLUSTER_CREATE_AB/cleanup_report.json;artifacts/phases/P13O_REPLICA_REPLICATE_BREAKDOWN/cleanup_report.json;artifacts/phases/P13_SCALE_LADDER_50_100/cleanup_report.json
small-real,scale,COVERED,real_valkey,10,true,false,,artifacts/phases/P12_SCALE_LADDER_10_30/scale_rung_10.json;artifacts/phases/P12_SCALE_LADDER_10_30/valkey_e2e_evidence_10.json
small-real,report_visualization,COVERED,real_valkey,8,true,false,,artifacts/phases/P09_ANALYSIS_REPORTING/analysis_summary.json;artifacts/phases/P09_ANALYSIS_REPORTING/report_index.json;artifacts/phases/P09_ANALYSIS_REPORTING/valkey_e2e_evidence.json
30,cluster_build,SKIPPED_WITH_REASON,none,0,false,false,No committed metric artifacts for cluster_build in 30 layer.,
30,management,SKIPPED_WITH_REASON,none,0,false,false,No committed metric artifacts for management in 30 layer.,
30,workload,SKIPPED_WITH_REASON,none,0,false,false,No committed metric artifacts for workload in 30 layer.,
30,observability,SKIPPED_WITH_REASON,none,0,false,false,No committed metric artifacts for observability in 30 layer.,
30,fault,SKIPPED_WITH_REASON,none,0,false,false,No committed metric artifacts for fault in 30 layer.,
30,failover,SKIPPED_WITH_REASON,none,0,false,false,No committed metric artifacts for failover in 30 layer.,
30,stability,SKIPPED_WITH_REASON,none,0,false,false,No committed metric artifacts for stability in 30 layer.,
30,cleanup,COVERED,source_artifact,2,false,false,,artifacts/phases/P12_SCALE_LADDER_10_30/cleanup_report_scale_30.json
30,scale,COVERED,real_valkey,10,true,false,,artifacts/phases/P12_SCALE_LADDER_10_30/scale_rung_30.json;artifacts/phases/P12_SCALE_LADDER_10_30/valkey_e2e_evidence_30.json
30,report_visualization,SKIPPED_WITH_REASON,none,0,false,false,No committed metric artifacts for report_visualization in 30 layer.,
50,cluster_build,SKIPPED_WITH_REASON,none,0,false,false,No committed metric artifacts for cluster_build in 50 layer.,
50,management,SKIPPED_WITH_REASON,none,0,false,false,No committed metric artifacts for management in 50 layer.,
50,workload,SKIPPED_WITH_REASON,none,0,false,false,No committed metric artifacts for workload in 50 layer.,
50,observability,SKIPPED_WITH_REASON,none,0,false,false,No committed metric artifacts for observability in 50 layer.,
50,fault,SKIPPED_WITH_REASON,none,0,false,false,No committed metric artifacts for fault in 50 layer.,
50,failover,SKIPPED_WITH_REASON,none,0,false,false,No committed metric artifacts for failover in 50 layer.,
50,stability,SKIPPED_WITH_REASON,none,0,false,false,No committed metric artifacts for stability in 50 layer.,
50,cleanup,COVERED,source_artifact,6,false,false,,artifacts/phases/P13O_CLUSTER_CREATE_AB/cleanup_report_scale_50.json;artifacts/phases/P13O_REPLICA_REPLICATE_BREAKDOWN/cleanup_report_scale_50.json;artifacts/phases/P13_SCALE_LADDER_50_100/cleanup_report_scale_50.json
50,scale,COVERED,real_valkey,38,true,false,,artifacts/phases/P13O_CLUSTER_CREATE_AB/scale_rung_50.json;artifacts/phases/P13O_CLUSTER_CREATE_AB/valkey_e2e_evidence_manual_scale_50.json;artifacts/phases/P13O_REPLICA_REPLICATE_BREAKDOWN/scale_rung_50.json;artifacts/phases/P13O_REPLICA_REPLICATE_BREAKDOWN/valkey_e2e_evidence_parallelism_16_scale_50.json;artifacts/phases/P13_SCALE_LADDER_50_100/p13_timing_breakdown_scale_50.json;artifacts/phases/P13_SCALE_LADDER_50_100/scale_rung_50.json;artifacts/phases/P13_SCALE_LADDER_50_100/valkey_e2e_evidence_50.json
50,report_visualization,SKIPPED_WITH_REASON,none,0,false,false,No committed metric artifacts for report_visualization in 50 layer.,
100,cluster_build,SKIPPED_WITH_REASON,none,0,false,false,No committed metric artifacts for cluster_build in 100 layer.,
100,management,SKIPPED_WITH_REASON,none,0,false,false,No committed metric artifacts for management in 100 layer.,
100,workload,SKIPPED_WITH_REASON,none,0,false,false,No committed metric artifacts for workload in 100 layer.,
100,observability,SKIPPED_WITH_REASON,none,0,false,false,No committed metric artifacts for observability in 100 layer.,
100,fault,SKIPPED_WITH_REASON,none,0,false,false,No committed metric artifacts for fault in 100 layer.,
100,failover,SKIPPED_WITH_REASON,none,0,false,false,No committed metric artifacts for failover in 100 layer.,
100,stability,SKIPPED_WITH_REASON,none,0,false,false,No committed metric artifacts for stability in 100 layer.,
100,cleanup,COVERED,source_artifact,2,false,false,,artifacts/phases/P13_SCALE_LADDER_50_100/cleanup_report_scale_100.json
100,scale,COVERED,real_valkey,18,true,false,,artifacts/phases/P13_SCALE_LADDER_50_100/p13_timing_breakdown_scale_100.json;artifacts/phases/P13_SCALE_LADDER_50_100/scale_rung_100.json;artifacts/phases/P13_SCALE_LADDER_50_100/valkey_e2e_evidence_100.json
100,report_visualization,SKIPPED_WITH_REASON,none,0,false,false,No committed metric artifacts for report_visualization in 100 layer.,
1000-dry-run,cluster_build,SKIPPED_WITH_REASON,none,0,false,true,No committed metric artifacts for cluster_build in 1000-dry-run layer.,
1000-dry-run,management,SKIPPED_WITH_REASON,none,0,false,true,No committed metric artifacts for management in 1000-dry-run layer.,
1000-dry-run,workload,SKIPPED_WITH_REASON,none,0,false,true,No committed metric artifacts for workload in 1000-dry-run layer.,
1000-dry-run,observability,SKIPPED_WITH_REASON,none,0,false,true,No committed metric artifacts for observability in 1000-dry-run layer.,
1000-dry-run,fault,SKIPPED_WITH_REASON,none,0,false,true,No committed metric artifacts for fault in 1000-dry-run layer.,
1000-dry-run,failover,SKIPPED_WITH_REASON,none,0,false,true,No committed metric artifacts for failover in 1000-dry-run layer.,
1000-dry-run,stability,SKIPPED_WITH_REASON,none,0,false,true,No committed metric artifacts for stability in 1000-dry-run layer.,
1000-dry-run,cleanup,SKIPPED_WITH_REASON,none,0,false,true,No committed metric artifacts for cleanup in 1000-dry-run layer.,
1000-dry-run,scale,COVERED,dry_run_planner,1,false,true,,artifacts/phases/P02_PLANNER/scale_1000_dryrun_plan.json
1000-dry-run,report_visualization,SKIPPED_WITH_REASON,none,0,false,true,No committed metric artifacts for report_visualization in 1000-dry-run layer.,
