coverage_id,scale,operation_name,operation_status,duration_ms,command_ms,prepare_ms,cleanup_ms,latency_method,source_stage,source_artifact,source_line,method
100.management.remove_replica,100,remove_replica,PASS,46363.598,46587.854958,0.0,0.0,duration_ms copied from source monotonic operation timing; command_ms MISSING when source missing_fields marks it missing,P31_MANAGEMENT_MATRIX_100_REAL,artifacts/phases/P31_MANAGEMENT_MATRIX_100_REAL/management_operation_results.jsonl,9,jsonl_row_projection
100.management.reshard_slot_range,100,reshard_slot_range,PASS,1903.337875,2131.758291,0.0,0.0,duration_ms copied from source monotonic operation timing; command_ms MISSING when source missing_fields marks it missing,P31_MANAGEMENT_MATRIX_100_REAL,artifacts/phases/P31_MANAGEMENT_MATRIX_100_REAL/management_operation_results.jsonl,4,jsonl_row_projection
100.management.reshard_with_keys,100,reshard_with_keys,PASS,2466.906292,2695.299125,0.0,0.0,duration_ms copied from source monotonic operation timing; command_ms MISSING when source missing_fields marks it missing,P31_MANAGEMENT_MATRIX_100_REAL,artifacts/phases/P31_MANAGEMENT_MATRIX_100_REAL/management_operation_results.jsonl,5,jsonl_row_projection
100.management.rolling_restart_primary_safe,100,rolling_restart_primary_safe,PASS,216235.07225,216455.216416,0.0,0.0,duration_ms copied from source monotonic operation timing; command_ms MISSING when source missing_fields marks it missing,P31_MANAGEMENT_MATRIX_100_REAL,artifacts/phases/P31_MANAGEMENT_MATRIX_100_REAL/management_operation_results.jsonl,8,jsonl_row_projection
100.management.rolling_restart_replica_first,100,rolling_restart_replica_first,PASS,227851.240375,228092.603083,0.0,0.0,duration_ms copied from source monotonic operation timing; command_ms MISSING when source missing_fields marks it missing,P31_MANAGEMENT_MATRIX_100_REAL,artifacts/phases/P31_MANAGEMENT_MATRIX_100_REAL/management_operation_results.jsonl,7,jsonl_row_projection
200.management.add_replica,200,add_replica,PASS,767.308584,MISSING,0.0,0.0,duration_ms copied from source monotonic operation timing; command_ms MISSING when source missing_fields marks it missing,P32_MANAGEMENT_MATRIX_200_REAL,artifacts/phases/P32_MANAGEMENT_MATRIX_200_REAL/management_operation_results.jsonl,3,jsonl_row_projection
200.management.create_cluster,200,create_cluster,PASS,741.642292,MISSING,0.0,0.0,duration_ms copied from source monotonic operation timing; command_ms MISSING when source missing_fields marks it missing,P32_MANAGEMENT_MATRIX_200_REAL,artifacts/phases/P32_MANAGEMENT_MATRIX_200_REAL/management_operation_results.jsonl,1,jsonl_row_projection
200.management.meet_nodes,200,meet_nodes,PASS,782.405834,MISSING,0.0,0.0,duration_ms copied from source monotonic operation timing; command_ms MISSING when source missing_fields marks it missing,P32_MANAGEMENT_MATRIX_200_REAL,artifacts/phases/P32_MANAGEMENT_MATRIX_200_REAL/management_operation_results.jsonl,2,jsonl_row_projection
200.management.rebalance_after_imbalance,200,rebalance_after_imbalance,PASS,51922.408458,52422.324167,0.0,0.0,duration_ms copied from source monotonic operation timing; command_ms MISSING when source missing_fields marks it missing,P32_MANAGEMENT_MATRIX_200_REAL,artifacts/phases/P32_MANAGEMENT_MATRIX_200_REAL/management_operation_results.jsonl,6,jsonl_row_projection
200.management.remove_failed_node,200,remove_failed_node,PASS,52313.539792,52845.068792,0.0,0.0,duration_ms copied from source monotonic operation timing; command_ms MISSING when source missing_fields marks it missing,P32_MANAGEMENT_MATRIX_200_REAL,artifacts/phases/P32_MANAGEMENT_MATRIX_200_REAL/management_operation_results.jsonl,10,jsonl_row_projection
200.management.remove_primary_drained_or_safe_replaced,200,remove_primary_drained_or_safe_replaced,PASS,62472.679708,62981.736625,0.0,0.0,duration_ms copied from source monotonic operation timing; command_ms MISSING when source missing_fields marks it missing,P32_MANAGEMENT_MATRIX_200_REAL,artifacts/phases/P32_MANAGEMENT_MATRIX_200_REAL/management_operation_results.jsonl,11,jsonl_row_projection
200.management.remove_replica,200,remove_replica,PASS,68009.642375,68520.032292,0.0,0.0,duration_ms copied from source monotonic operation timing; command_ms MISSING when source missing_fields marks it missing,P32_MANAGEMENT_MATRIX_200_REAL,artifacts/phases/P32_MANAGEMENT_MATRIX_200_REAL/management_operation_results.jsonl,9,jsonl_row_projection
200.management.reshard_slot_range,200,reshard_slot_range,PASS,14544.435,15100.695542,0.0,0.0,duration_ms copied from source monotonic operation timing; command_ms MISSING when source missing_fields marks it missing,P32_MANAGEMENT_MATRIX_200_REAL,artifacts/phases/P32_MANAGEMENT_MATRIX_200_REAL/management_operation_results.jsonl,4,jsonl_row_projection
200.management.reshard_with_keys,200,reshard_with_keys,PASS,6959.79325,7478.458625,0.0,0.0,duration_ms copied from source monotonic operation timing; command_ms MISSING when source missing_fields marks it missing,P32_MANAGEMENT_MATRIX_200_REAL,artifacts/phases/P32_MANAGEMENT_MATRIX_200_REAL/management_operation_results.jsonl,5,jsonl_row_projection
200.management.rolling_restart_primary_safe,200,rolling_restart_primary_safe,PASS,862120.50775,863166.0755,0.0,0.0,duration_ms copied from source monotonic operation timing; command_ms MISSING when source missing_fields marks it missing,P32_MANAGEMENT_MATRIX_200_REAL,artifacts/phases/P32_MANAGEMENT_MATRIX_200_REAL/management_operation_results.jsonl,8,jsonl_row_projection
200.management.rolling_restart_replica_first,200,rolling_restart_replica_first,PASS,682510.399125,683016.936542,0.0,0.0,duration_ms copied from source monotonic operation timing; command_ms MISSING when source missing_fields marks it missing,P32_MANAGEMENT_MATRIX_200_REAL,artifacts/phases/P32_MANAGEMENT_MATRIX_200_REAL/management_operation_results.jsonl,7,jsonl_row_projection
